Zeruhn report   \xFD\x13\x02\x00\x01\xFD
Fauregandi supplies   \xFD\x13\x02\x00\x53\xFD
Valdeaunia supplies   \xFD\x13\x02\x00\x54\xFD
Li'Telor supplies   \xFD\x13\x02\x00\x55\xFD
Kuzotz supplies   \xFD\x13\x02\x00\x56\xFD
Vollbow supplies    \xFD\x13\x02\x00\x57\xFD
lapis monocle   \xFD\x13\x02\x00\x58\xFD
donation envelope   \xFD\x13\x02\x00\x59\xFD
Aragoneu pizza    \xFD\x13\x02\x00\x5A\xFD
land crab bisque    \xFD\x13\x02\x00\x5B\xFD
Mhauran couscous    \xFD\x13\x02\x00\x5C\xFD
etched ring   \xFD\x13\x02\x00\x5D\xFD
trader's sack   \xFD\x13\x02\x00\x5E\xFD
Gardenia pass   \xFD\x13\x02\x00\x60\xFD
weapons order   \xFD\x13\x02\x00\x61\xFD
weapons receipt   \xFD\x13\x02\x00\x62\xFD
small bag   \xFD\x13\x02\x00\x63\xFD
Ranpi-Monpi's special stew    \xFD\x13\x02\x00\x64\xFD
ferry ticket    \xFD\x13\x02\x00\x65\xFD
stamp sheet   \xFD\x13\x02\x00\x66\xFD
lost document   \xFD\x13\x02\x00\x67\xFD
East Block code   \xFD\x13\x02\x00\x68\xFD
South Block code    \xFD\x13\x02\x00\x69\xFD
North Block code    \xFD\x13\x02\x00\x6A\xFD
letter from Roh Latteh    \xFD\x13\x02\x00\x6B\xFD
painting of a windmill    \xFD\x13\x02\x00\x6C\xFD
tattered mission orders   \xFD\x13\x02\x00\x6D\xFD
Monastic Cavern key   \xFD\x13\x02\x00\x6E\xFD
moon crystal    \xFD\x13\x02\x00\x6F\xFD
southeastern star charm   \xFD\x13\x02\x00\x70\xFD
Wonder Magic Set    \xFD\x13\x02\x00\x71\xFD
unfinished letter   \xFD\x13\x02\x00\x72\xFD
new model hat   \xFD\x13\x02\x00\x73\xFD
old tiger's fang    \xFD\x13\x02\x00\x75\xFD
receipt for the prince    \xFD\x13\x02\x00\x77\xFD
magic trash   \xFD\x13\x02\x00\x78\xFD
Tenshodo application form   \xFD\x13\x02\x00\x79\xFD
sharp gray stone    \xFD\x13\x02\x00\x7A\xFD
cathedral donation    \xFD\x13\x02\x00\x7B\xFD
Qufim supplies    \xFD\x13\x02\x00\x7C\xFD
tattered test sheet   \xFD\x13\x02\x00\x7D\xFD
"A Song of Love"    \xFD\x13\x02\x00\x7E\xFD
Steaming Sheep invitation   \xFD\x13\x02\x00\x7F\xFD
broken wand   \xFD\x13\x02\x00\x80\xFD
Gulemont's document   \xFD\x13\x02\x00\x81\xFD
old ring    \xFD\x13\x02\x00\x82\xFD
white orb   \xFD\x13\x02\x00\x83\xFD
pink orb    \xFD\x13\x02\x00\x84\xFD
red orb   \xFD\x13\x02\x00\x85\xFD
blood orb   \xFD\x13\x02\x00\x86\xFD
cursed orb    \xFD\x13\x02\x00\x87\xFD
key to the Oztroja mines    \xFD\x13\x02\x00\x89\xFD
cursepaper    \xFD\x13\x02\x00\x8B\xFD
corrupted dirt    \xFD\x13\x02\x00\x8C\xFD
stalactite dew    \xFD\x13\x02\x00\x8D\xFD
Book of Tasks   \xFD\x13\x02\x00\x8F\xFD
Book of the East    \xFD\x13\x02\x00\x90\xFD
Book of the West    \xFD\x13\x02\x00\x91\xFD
knight's soul   \xFD\x13\x02\x00\x92\xFD
cold medicine   \xFD\x13\x02\x00\x93\xFD
Amaura's formula    \xFD\x13\x02\x00\x94\xFD
overdue book notification   \xFD\x13\x02\x00\x95\xFD
Scripture of Water    \xFD\x13\x02\x00\x96\xFD
Scripture of Wind   \xFD\x13\x02\x00\x97\xFD
Tami's note   \xFD\x13\x02\x00\x98\xFD
thyme moss    \xFD\x13\x02\x00\x99\xFD
cough medicine    \xFD\x13\x02\x00\x9A\xFD
scroll of treasure    \xFD\x13\x02\x00\x9B\xFD
Code of Beastmasters    \xFD\x13\x02\x00\x9C\xFD
Orcish hut key    \xFD\x13\x02\x00\x9D\xFD
star crested summons    \xFD\x13\x02\x00\x9E\xFD
Brugaire goods    \xFD\x13\x02\x00\x9F\xFD
small teacup    \xFD\x13\x02\x00\xA0\xFD
suspicious envelope   \xFD\x13\x02\x00\xA1\xFD
carrier pigeon letter   \xFD\x13\x02\x00\xA2\xFD
Carmelo's song sheet    \xFD\x13\x02\x00\xA3\xFD
Curilla's bottle    \xFD\x13\x02\x00\xA4\xFD
Curilla's bottle    \xFD\x13\x02\x00\xA5\xFD
neutralizer   \xFD\x13\x02\x00\xA6\xFD
goldsmithing order    \xFD\x13\x02\x00\xA7\xFD
mythril hearts    \xFD\x13\x02\x00\xA8\xFD
letter from Zeid    \xFD\x13\x02\x00\xAA\xFD
Shantotto's new spell   \xFD\x13\x02\x00\xAB\xFD
Shantotto's ex-spell    \xFD\x13\x02\x00\xAC\xFD
bucket of divine paint    \xFD\x13\x02\x00\xAD\xFD
letter from Virnage   \xFD\x13\x02\x00\xAE\xFD
spirit incense    \xFD\x13\x02\x00\xAF\xFD
Gantineux's letter    \xFD\x13\x02\x00\xB0\xFD
seal of banishing   \xFD\x13\x02\x00\xB1\xFD
magical pattern   \xFD\x13\x02\x00\xB2\xFD
Fei'Yin magic tome    \xFD\x13\x02\x00\xB3\xFD
"Sluice Surveyor Mk. I"   \xFD\x13\x02\x00\xB4\xFD
"Foe Finder Mk. I"    \xFD\x13\x02\x00\xB5\xFD
earthen charm   \xFD\x13\x02\x00\xB6\xFD
letter from the Tenshodo    \xFD\x13\x02\x00\xB7\xFD
Tenshodo envelope   \xFD\x13\x02\x00\xB8\xFD
signed envelope   \xFD\x13\x02\x00\xB9\xFD
gang whereabouts note   \xFD\x13\x02\x00\xBA\xFD
first forged envelope   \xFD\x13\x02\x00\xBB\xFD
second forged envelope    \xFD\x13\x02\x00\xBC\xFD
first signed forged envelope    \xFD\x13\x02\x00\xBD\xFD
second signed forged envelope   \xFD\x13\x02\x00\xBE\xFD
letter from Dalzakk   \xFD\x13\x02\x00\xBF\xFD
San d'Orian martial arts scroll   \xFD\x13\x02\x00\xC0\xFD
bomb incense    \xFD\x13\x02\x00\xC1\xFD
Perchond's envelope   \xFD\x13\x02\x00\xC2\xFD
Orcish dried food   \xFD\x13\x02\x00\xC4\xFD
old pocket watch    \xFD\x13\x02\x00\xC5\xFD
old boots   \xFD\x13\x02\x00\xC6\xFD
Holy One's oath   \xFD\x13\x02\x00\xC8\xFD
crawler blood   \xFD\x13\x02\x00\xC9\xFD
Cat Burglar's note    \xFD\x13\x02\x00\xCA\xFD
chieftainness's twinstone earring   \xFD\x13\x02\x00\xCB\xFD
northern vine   \xFD\x13\x02\x00\xCC\xFD
southern vine   \xFD\x13\x02\x00\xCD\xFD
eastern vine    \xFD\x13\x02\x00\xCE\xFD
western vine    \xFD\x13\x02\x00\xCF\xFD
sword grip material   \xFD\x13\x02\x00\xD0\xFD
Yasin's sword   \xFD\x13\x02\x00\xD1\xFD
old gauntlets   \xFD\x13\x02\x00\xD2\xFD
shadow flames   \xFD\x13\x02\x00\xD3\xFD
Firebloom Tree wood   \xFD\x13\x02\x00\xD4\xFD
letter to Angelica    \xFD\x13\x02\x00\xD5\xFD
"Final Fantasy"   \xFD\x13\x02\x00\xD6\xFD
ripped "Final Fantasy" painting   \xFD\x13\x02\x00\xD7\xFD
"Final Fantasy Part II"   \xFD\x13\x02\x00\xD8\xFD
tamer's whistle   \xFD\x13\x02\x00\xD9\xFD
knight's boots    \xFD\x13\x02\x00\xDA\xFD
Mique's paintbrush    \xFD\x13\x02\x00\xDB\xFD
strange sheet of paper    \xFD\x13\x02\x00\xDC\xFD
knight's confession   \xFD\x13\x02\x00\xDD\xFD
round frigicite   \xFD\x13\x02\x00\xDE\xFD
square frigicite    \xFD\x13\x02\x00\xDF\xFD
triangular frigicite    \xFD\x13\x02\x00\xE0\xFD
star ring   \xFD\x13\x02\x00\xE1\xFD
star ring   \xFD\x13\x02\x00\xE2\xFD
moon ring   \xFD\x13\x02\x00\xE3\xFD
Mertaire's bracelet   \xFD\x13\x02\x00\xE4\xFD
aquaflora   \xFD\x13\x02\x00\xE5\xFD
aquaflora   \xFD\x13\x02\x00\xE6\xFD
aquaflora   \xFD\x13\x02\x00\xE7\xFD
guiding bell    \xFD\x13\x02\x00\xE8\xFD
Ordelle whetstone   \xFD\x13\x02\x00\xE9\xFD
letter from the Darksteel Forge   \xFD\x13\x02\x00\xEA\xFD
"Darksteel Formula"   \xFD\x13\x02\x00\xEB\xFD
Koh's letter    \xFD\x13\x02\x00\xEC\xFD
Royal Knights' Davoi report   \xFD\x13\x02\x00\xED\xFD
Sacrificial Chamber key   \xFD\x13\x02\x00\xEE\xFD
fire fragment   \xFD\x13\x02\x00\xEF\xFD
water fragment    \xFD\x13\x02\x00\xF0\xFD
earth fragment    \xFD\x13\x02\x00\xF1\xFD
wind fragment   \xFD\x13\x02\x00\xF2\xFD
lightning fragment    \xFD\x13\x02\x00\xF3\xFD
ice fragment    \xFD\x13\x02\x00\xF4\xFD
light fragment    \xFD\x13\x02\x00\xF5\xFD
dark fragment   \xFD\x13\x02\x00\xF6\xFD
southwestern star charm   \xFD\x13\x02\x00\xF8\xFD
Balga champion certificate    \xFD\x13\x02\x00\xC7\xFD
Holy One's invitation   \xFD\x13\x02\x00\xF9\xFD
blank Book of the Gods    \xFD\x13\x02\x00\xFB\xFD
Book of the Gods    \xFD\x13\x02\x00\xFC\xFD
Nonberry's knife    \xFD\x13\x02\x00\xFD\xFD
sublime statue of the Goddess   \xFD\x13\x02\x00\xFE\xFD
Rauteinot's parcel    \xFD\x13\x02\x00\xFF\xFD
treasure map    \xFD\x13\x02\x01\x00\xFD
strangely shaped coral    \xFD\x13\x02\x01\x01\xFD
sealed dagger   \xFD\x13\x02\x01\x02\xFD
Angelica's letter   \xFD\x13\x02\x01\x03\xFD
empty barrel    \xFD\x13\x02\x01\x04\xFD
barrel of Opo-Opo brew    \xFD\x13\x02\x01\x05\xFD
Elshimo Lowlands supplies   \xFD\x13\x02\x01\x06\xFD
Elshimo Uplands supplies    \xFD\x13\x02\x01\x07\xFD
Tavnazian Archipelago supplies    \xFD\x13\x02\x02\x6C\xFD
joker card    \xFD\x13\x02\x01\x08\xFD
Altepa moonpebble   \xFD\x13\x02\x01\x0A\xFD
dreamrose   \xFD\x13\x02\x01\x0C\xFD
ancient San d'Orian book    \xFD\x13\x02\x01\x0D\xFD
piece of paper    \xFD\x13\x02\x01\x0E\xFD
invisible man sticker   \xFD\x13\x02\x01\x0F\xFD
old rusty key   \xFD\x13\x02\x01\x11\xFD
ancient tablet fragment   \xFD\x13\x02\x01\x12\xFD
"Star Seeker"   \xFD\x13\x02\x01\x13\xFD
tablet of ancient magic   \xFD\x13\x02\x01\x15\xFD
letter from Alfesar   \xFD\x13\x02\x01\x16\xFD
magic-drained "Star Seeker"     \xFD\x13\x02\x01\x17\xFD
Optistery ring    \xFD\x13\x02\x00\xFA\xFD
Rhinostery ring   \xFD\x13\x02\x01\x18\xFD
Orastery ring   \xFD\x13\x02\x01\x09\xFD
Aurastery ring    \xFD\x13\x02\x01\x14\xFD
Manustery ring    \xFD\x13\x02\x01\x19\xFD
glove of perpetual twilight   \xFD\x13\x02\x01\x1A\xFD
ancient San d'Orian tablet    \xFD\x13\x02\x01\x1B\xFD
crystal dowser    \xFD\x13\x02\x01\x1C\xFD
piece of a broken key   \xFD\x13\x02\x01\x1D\xFD
piece of a broken key   \xFD\x13\x02\x01\x1E\xFD
piece of a broken key   \xFD\x13\x02\x01\x1F\xFD
drops of Amnio    \xFD\x13\x02\x01\x20\xFD
reinforced cermet   \xFD\x13\x02\x01\x21\xFD
letter from Werei   \xFD\x13\x02\x01\x22\xFD
thesis on alchemy   \xFD\x13\x02\x01\x24\xFD
old piece of wood   \xFD\x13\x02\x01\x25\xFD
dragon curse remedy   \xFD\x13\x02\x01\x26\xFD
sealed iron box   \xFD\x13\x02\x01\x27\xFD
sea serpent statue    \xFD\x13\x02\x01\x28\xFD
Altepa polishing stone    \xFD\x13\x02\x01\x29\xFD
challenge to the Royal Knights    \xFD\x13\x02\x01\x2A\xFD
Ranchuriome's legacy    \xFD\x13\x02\x01\x2B\xFD
Ronfaure EF insignia    \xFD\x13\x02\x01\x2C\xFD
Zulkheim EF insignia    \xFD\x13\x02\x01\x2D\xFD
Norvallen EF insignia   \xFD\x13\x02\x01\x2E\xFD
Gustaberg EF insignia   \xFD\x13\x02\x01\x2F\xFD
Derfland EF insignia    \xFD\x13\x02\x01\x30\xFD
Sarutabaruta EF insignia    \xFD\x13\x02\x01\x31\xFD
Kolshushu EF insignia   \xFD\x13\x02\x01\x32\xFD
Aragoneu EF insignia    \xFD\x13\x02\x01\x33\xFD
Fauregandi EF insignia    \xFD\x13\x02\x01\x34\xFD
Valdeaunia EF insignia    \xFD\x13\x02\x01\x35\xFD
Qufim EF insignia   \xFD\x13\x02\x01\x36\xFD
Li'Telor EF insignia    \xFD\x13\x02\x01\x37\xFD
Kuzotz EF insignia    \xFD\x13\x02\x01\x38\xFD
Vollbow EF insignia   \xFD\x13\x02\x01\x39\xFD
Elshimo Lowlands EF insignia    \xFD\x13\x02\x01\x3A\xFD
Elshimo Uplands EF insignia   \xFD\x13\x02\x01\x3B\xFD
KEY ITEM    \xFD\x13\x02\x01\x3C\xFD
KEY ITEM    \xFD\x13\x02\x01\x3D\xFD
KEY ITEM    \xFD\x13\x02\x01\x3E\xFD
KEY ITEM    \xFD\x13\x02\x01\x3F\xFD
potion voucher    \xFD\x13\x02\x02\x7B\xFD
hi-potion voucher   \xFD\x13\x02\x02\x7C\xFD
x-potion voucher    \xFD\x13\x02\x02\x7D\xFD
ether voucher   \xFD\x13\x02\x02\x7E\xFD
hi-ether voucher    \xFD\x13\x02\x02\x7F\xFD
super ether voucher   \xFD\x13\x02\x02\x80\xFD
elixir voucher    \xFD\x13\x02\x02\x81\xFD
revitalizer voucher   \xFD\x13\x02\x02\x82\xFD
body boost voucher    \xFD\x13\x02\x02\x83\xFD
mana boost voucher    \xFD\x13\x02\x02\x84\xFD
drachenessence voucher    \xFD\x13\x02\x02\x85\xFD
Barfire ointment voucher    \xFD\x13\x02\x02\x86\xFD
Barblizzard ointment voucher    \xFD\x13\x02\x02\x87\xFD
Baraero ointment voucher    \xFD\x13\x02\x02\x88\xFD
Barstone ointment voucher   \xFD\x13\x02\x02\x89\xFD
Barthunder ointment voucher   \xFD\x13\x02\x02\x8A\xFD
Barwater ointment voucher   \xFD\x13\x02\x02\x8B\xFD
Petra eater voucher   \xFD\x13\x02\x02\xBE\xFD
remedy voucher    \xFD\x13\x02\x02\xD9\xFD
panacea voucher   \xFD\x13\x02\x02\xDA\xFD
smelling salts voucher    \xFD\x13\x02\x02\xDB\xFD
healing powder voucher    \xFD\x13\x02\x02\xF5\xFD
catholicon voucher    \xFD\x13\x02\x02\xBF\xFD
gold Ballista chevron   \xFD\x13\x02\x02\xAA\xFD
mythril Ballista chevron    \xFD\x13\x02\x02\xAB\xFD
silver Ballista chevron   \xFD\x13\x02\x02\xAC\xFD
bronze Ballista chevron   \xFD\x13\x02\x02\xAD\xFD
bloody Ballista chevron   \xFD\x13\x02\x02\xAE\xFD
orange Ballista chevron   \xFD\x13\x02\x02\xAF\xFD
white Ballista chevron    \xFD\x13\x02\x02\xB0\xFD
black Ballista chevron    \xFD\x13\x02\x02\xB1\xFD
red Ballista chevron    \xFD\x13\x02\x02\xB2\xFD
green Ballista chevron    \xFD\x13\x02\x02\xB3\xFD
sparking Ballista chevron   \xFD\x13\x02\x02\xB4\xFD
ebon Ballista chevron   \xFD\x13\x02\x02\xB5\xFD
furry Ballista chevron    \xFD\x13\x02\x02\xB6\xFD
brown Ballista chevron    \xFD\x13\x02\x02\xB7\xFD
ochre Ballista chevron    \xFD\x13\x02\x02\xB8\xFD
jade Ballista chevron   \xFD\x13\x02\x02\xB9\xFD
transparent Ballista chevron    \xFD\x13\x02\x02\xBA\xFD
purple Ballista chevron   \xFD\x13\x02\x02\xBB\xFD
rainbow Ballista chevron    \xFD\x13\x02\x02\xBC\xFD
sapphire Ballista chevron   \xFD\x13\x02\x03\x09\xFD
coral Ballista chevron    \xFD\x13\x02\x03\x0A\xFD
silk Ballista chevron   \xFD\x13\x02\x03\x0B\xFD
sequined Ballista chevron   \xFD\x13\x02\x03\x93\xFD
velvet Ballista chevron   \xFD\x13\x02\x03\x94\xFD
whisper of flames   \xFD\x13\x02\x01\x40\xFD
whisper of tremors    \xFD\x13\x02\x01\x41\xFD
whisper of tides    \xFD\x13\x02\x01\x42\xFD
whisper of gales    \xFD\x13\x02\x01\x43\xFD
whisper of frost    \xFD\x13\x02\x01\x44\xFD
whisper of storms   \xFD\x13\x02\x01\x45\xFD
whisper of the moon   \xFD\x13\x02\x01\x46\xFD
whisper of dreams   \xFD\x13\x02\x01\x47\xFD
tuning fork of fire   \xFD\x13\x02\x01\x48\xFD
tuning fork of earth    \xFD\x13\x02\x01\x49\xFD
tuning fork of water    \xFD\x13\x02\x01\x4A\xFD
tuning fork of wind   \xFD\x13\x02\x01\x4B\xFD
tuning fork of ice    \xFD\x13\x02\x01\x4C\xFD
tuning fork of lightning    \xFD\x13\x02\x01\x4D\xFD
moon bauble   \xFD\x13\x02\x01\x4E\xFD
vial of dream incense   \xFD\x13\x02\x01\x4F\xFD
Orcish crest    \xFD\x13\x02\x01\x50\xFD
Quadav crest    \xFD\x13\x02\x01\x51\xFD
Yagudo crest    \xFD\x13\x02\x01\x52\xFD
"Un Moment"   \xFD\x13\x02\x01\x53\xFD
"L'Ephemere"    \xFD\x13\x02\x01\x54\xFD
"L'Ancienne"    \xFD\x13\x02\x01\x55\xFD
"Chanson de Liberte"    \xFD\x13\x02\x01\x56\xFD
weapon training guide   \xFD\x13\x02\x01\x57\xFD
map to the Annals of Truth    \xFD\x13\x02\x01\x58\xFD
Annals of Truth   \xFD\x13\x02\x01\x59\xFD
completion certificate    \xFD\x13\x02\x01\x5A\xFD
dropped item    \xFD\x13\x02\x01\x5C\xFD
White Card    \xFD\x13\x02\x01\x5D\xFD
Red Card    \xFD\x13\x02\x01\x5E\xFD
Black Card    \xFD\x13\x02\x01\x5F\xFD
Cosmo-Cleanse   \xFD\x13\x02\x02\xDE\xFD
Promyvion - Holla sliver    \xFD\x13\x02\x01\x66\xFD
Promyvion - Dem sliver    \xFD\x13\x02\x01\x67\xFD
Promyvion - Mea sliver    \xFD\x13\x02\x01\x68\xFD
note written by Esha'ntarl    \xFD\x13\x02\x01\x6A\xFD
KEY ITEM    \xFD\x13\x02\x01\x6E\xFD
KEY ITEM    \xFD\x13\x02\x01\x6F\xFD
KEY ITEM    \xFD\x13\x02\x01\x70\xFD
KEY ITEM    \xFD\x13\x02\x01\x71\xFD
KEY ITEM    \xFD\x13\x02\x01\x72\xFD
KEY ITEM    \xFD\x13\x02\x01\x73\xFD
KEY ITEM    \xFD\x13\x02\x01\x74\xFD
KEY ITEM    \xFD\x13\x02\x01\x75\xFD
KEY ITEM    \xFD\x13\x02\x01\x76\xFD
KEY ITEM    \xFD\x13\x02\x01\x77\xFD
KEY ITEM    \xFD\x13\x02\x01\x78\xFD
KEY ITEM    \xFD\x13\x02\x01\x79\xFD
KEY ITEM    \xFD\x13\x02\x01\x7A\xFD
KEY ITEM    \xFD\x13\x02\x01\x7B\xFD
KEY ITEM    \xFD\x13\x02\x01\x7C\xFD
KEY ITEM    \xFD\x13\x02\x01\x7D\xFD
KEY ITEM    \xFD\x13\x02\x01\x7E\xFD
daze-breaker charm    \xFD\x13\x02\x01\xC0\xFD
shiny earring   \xFD\x13\x02\x01\xC1\xFD
Carbuncle's Tear    \xFD\x13\x02\x01\xC2\xFD
scrap of papyrus    \xFD\x13\x02\x01\xC3\xFD
handful of crystal scales   \xFD\x13\x02\x01\xC5\xFD
charred helm    \xFD\x13\x02\x01\xC6\xFD
trick box   \xFD\x13\x02\x01\xCC\xFD
Washu's tasty wurst   \xFD\x13\x02\x01\xCD\xFD
yomotsu feather   \xFD\x13\x02\x01\xCE\xFD
Yomotsu Hirasaka    \xFD\x13\x02\x01\xCF\xFD
faded Yomotsu Hirasaka    \xFD\x13\x02\x01\xD0\xFD
seance staff    \xFD\x13\x02\x01\xD1\xFD
smiling stone   \xFD\x13\x02\x01\xD2\xFD
scowling stone    \xFD\x13\x02\x01\xD3\xFD
somber stone    \xFD\x13\x02\x01\xD4\xFD
spirited stone    \xFD\x13\x02\x01\xD5\xFD
old trick box   \xFD\x13\x02\x01\xD6\xFD
large trick box   \xFD\x13\x02\x01\xD7\xFD
indigested stalagmite   \xFD\x13\x02\x01\xD8\xFD
indigested ore    \xFD\x13\x02\x01\xD9\xFD
indigested meat   \xFD\x13\x02\x01\xDA\xFD
letter from Zonpa-Zippa   \xFD\x13\x02\x01\xDB\xFD
moondrop    \xFD\x13\x02\x01\xDC\xFD
miraclesalt   \xFD\x13\x02\x01\xDD\xFD
Ancient Verse of Ro'Maeve   \xFD\x13\x02\x01\xDE\xFD
Ancient Verse of Altepa   \xFD\x13\x02\x01\xDF\xFD
Ancient Verse of Uggalepih    \xFD\x13\x02\x01\xE0\xFD
figure of Leviathan   \xFD\x13\x02\x01\xE1\xFD
figure of Garuda    \xFD\x13\x02\x01\xE2\xFD
figure of Titan   \xFD\x13\x02\x01\xE3\xFD
dark Mana Orb   \xFD\x13\x02\x01\xE4\xFD
Diary of Mukunda    \xFD\x13\x02\x01\xED\xFD
Letter to the Bas. Conflict Cmd.    \xFD\x13\x02\x01\xEE\xFD
Letter to the Win. Conflict Cmd.    \xFD\x13\x02\x01\xEF\xFD
Letter to the San. Conflict Cmd.    \xFD\x13\x02\x01\xF0\xFD
Letter to the Win. Conflict Cmd.    \xFD\x13\x02\x01\xF1\xFD
Letter to the San. Conflict Cmd.    \xFD\x13\x02\x01\xF2\xFD
Letter to the Bas. Conflict Cmd.    \xFD\x13\x02\x01\xF3\xFD
Ballista Earring    \xFD\x13\x02\x01\xF4\xFD
Petra Shovel    \xFD\x13\x02\x02\xCA\xFD
Ballista Band   \xFD\x13\x02\x02\xCD\xFD
Brenner Shovel    \xFD\x13\x02\x02\xF6\xFD
Brenner Band    \xFD\x13\x02\x02\xF7\xFD
Ballista Instawarp    \xFD\x13\x02\x02\x41\xFD
Ballista Instaport    \xFD\x13\x02\x02\x42\xFD
Drawing of a male Hume    \xFD\x13\x02\x01\xF5\xFD
Drawing of a female Hume    \xFD\x13\x02\x01\xF6\xFD
Drawing of a male Elvaan    \xFD\x13\x02\x01\xF7\xFD
Drawing of a female Elvaan    \xFD\x13\x02\x01\xF8\xFD
Drawing of a male Tarutaru    \xFD\x13\x02\x01\xF9\xFD
Drawing of a female Tarutaru    \xFD\x13\x02\x01\xFA\xFD
Drawing of a Mithra   \xFD\x13\x02\x01\xFB\xFD
Drawing of a Galka    \xFD\x13\x02\x01\xFC\xFD
Ye Olde Mannequin Catalogue   \xFD\x13\x02\x01\xFD\xFD
mannequin joint diagrams    \xFD\x13\x02\x01\xFE\xFD
clamming kit    \xFD\x13\x02\x01\xFF\xFD
mysterious amulet   \xFD\x13\x02\x02\x43\xFD
mysterious amulet   \xFD\x13\x02\x02\x44\xFD
cracked Mimeo Mirror    \xFD\x13\x02\x02\x45\xFD
Mimeo Stone   \xFD\x13\x02\x02\x47\xFD
mystic ice    \xFD\x13\x02\x02\x48\xFD
